"site","year","date","tree","caterpillars","recorder"
"DUN",2014,128,"5",0,"JDS"
"FOF",2014,128,"7",0,"ABP"
"FOF",2014,128,"6",0,"ABP"
"FOU",2014,128,"4",0,"JDS"
"FOU",2014,128,"3",0,"ERI"
"FSH",2014,128,"1",0,"JDS"
"FSH",2014,128,"3",0,"JDS"
"FSH",2014,128,"6",0,"ERI"
"GLF",2014,128,"2",0,"ABP"
"GLF",2014,128,"6",0,"ABP"
"GLF",2014,128,"7",0,"ABP"
"INS",2014,128,"3",0,"JDS"
"INS",2014,128,"6",0,"ERI"
"INS",2014,128,"2",0,"JDS"
"KCK",2014,128,"3",0,"JDS"
"KCK",2014,128,"4",0,"ERI"
"LVN",2014,128,"1",0,"ABP"
"LVN",2014,128,"3",0,"ABP"
"LVN",2014,128,"4",0,"ABP"
"MCH",2014,128,"1",0,"ABP"
"MCH",2014,128,"6",1,"ABP"
"MCH",2014,128,"4",1,"ABP"
"STY",2014,128,"5",0,"ERI"
"STY",2014,128,"6",0,"ERI"
"ALN",2014,129,"1",0,"JDS"
"AVI",2014,129,"4",0,"JDS"
"BIR",2014,129,"6",0,"JDS"
"BLA",2014,129,"6",0,"JDS"
"BLG",2014,129,"1",0,"JDS"
"DNC",2014,129,"3",0,"JDS"
"DNM",2014,129,"3",0,"JDS"
"MUN",2014,129,"4",0,"JDS"
"NEW",2014,129,"1",0,"JDS"
"PTH",2014,129,"6",0,"JDS"
"TAI",2014,129,"7",0,"JDS"
"TOM",2014,129,"6",1,"JDS"
"BAD",2014,130,"3",0,"ABP"
"CAL",2014,130,"5",0,"JDS"
"CAR",2014,130,"2",0,"JDS"
"CRU",2014,130,"6",0,"JDS"
"DAV",2014,130,"5",0,"JDS"
"DEL",2014,130,"5",0,"JDS"
"DLW",2014,130,"2",0,"JDS"
"DOR",2014,130,"3",0,"JDS"
"DUN",2014,130,"1",0,"JDS"
"FOF",2014,130,"4",0,"ABP"
"FOU",2014,130,"7",0,"JDS"
"FSH",2014,130,"4",0,"JDS"
"GLF",2014,130,"5",0,"ABP"
"INS",2014,130,"5",0,"JDS"
"KCK",2014,130,"6",0,"JDS"
"LVN",2014,130,"5",0,"ABP"
"MCH",2014,130,"3",0,"ABP"
"STY",2014,130,"2",0,"JDS"
"ALN",2014,131,"3",0,"ERI"
"ALN",2014,131,"5",0,"ERI"
"ALN",2014,131,"6",0,"ERI"
"AVI",2014,131,"3",0,"JDS"
"AVI",2014,131,"5",1,"JDS"
"BIR",2014,131,"1",1,"ERI"
"BIR",2014,131,"2",1,"ERI"
"BIR",2014,131,"5",0,"ERI"
"BLA",2014,131,"2",0,"ERI"
"BLA",2014,131,"5",0,"ERI"
"BLG",2014,131,"6",0,"ERI"
"BLG",2014,131,"2",0,"ERI"
"DNC",2014,131,"1",0,"JDS"
"DNC",2014,131,"6",0,"JDS"
"DNM",2014,131,"1",0,"ERI"
"DNM",2014,131,"2",0,"ERI"
"DNM",2014,131,"5",2,"ERI"
"MUN",2014,131,"2",1,"JDS"
"NEW",2014,131,"5",0,"JDS"
"NEW",2014,131,"2",0,"JDS"
"PTH",2014,131,"1",0,"JDS"
"TAI",2014,131,"5",0,"JDS"
"TOM",2014,131,"1",0,"ERI"
"TOM",2014,131,"3",0,"ERI"
"TOM",2014,131,"4",0,"ERI"
"BAD",2014,132,"1",0,"ABP"
"BAD",2014,132,"5",0,"ABP"
"BAD",2014,132,"6",0,"ABP"
"CAL",2014,132,"3",1,"ERI"
"CAL",2014,132,"6",0,"ERI"
"CAR",2014,132,"1",0,"ERI"
"CAR",2014,132,"4",0,"ERI"
"CAR",2014,132,"6",0,"ERI"
"CRU",2014,132,"2",0,"ERI"
"CRU",2014,132,"3",0,"ERI"
"DAV",2014,132,"1",0,"ERI"
"DAV",2014,132,"4",0,"ERI"
"DAV",2014,132,"2",0,"ERI"
"DEL",2014,132,"7Z",0,"ERI"
"DEL",2014,132,"1",0,"ERI"
"DLW",2014,132,"4",0,"ERI"
"DLW",2014,132,"6",0,"ERI"
"DOR",2014,132,"4",0,"ERI"
"DOR",2014,132,"5",0,"ERI"
"DOR",2014,132,"1",0,"ERI"
"DUN",2014,132,"4",0,"ERI"
"DUN",2014,132,"5",0,"ERI"
"FOF",2014,132,"7",0,"ABP"
"FOF",2014,132,"6",0,"ABP"
"FSH",2014,132,"1",0,"ERI"
"FSH",2014,132,"3",0,"ERI"
"FSH",2014,132,"6",0,"ERI"
"GLF",2014,132,"2",0,"ABP"
"GLF",2014,132,"6",0,"ABP"
"GLF",2014,132,"7",0,"ABP"
"INS",2014,132,"3",0,"ERI"
"INS",2014,132,"6",0,"ERI"
"INS",2014,132,"2",0,"ERI"
"KCK",2014,132,"3",0,"ERI"
"KCK",2014,132,"4",0,"ERI"
"LVN",2014,132,"1",0,"ABP"
"LVN",2014,132,"3",0,"ABP"
"LVN",2014,132,"4",0,"ABP"
"MCH",2014,132,"6",0,"ABP"
"MCH",2014,132,"4",0,"ABP"
"STY",2014,132,"5",0,"ERI"
"STY",2014,132,"6",0,"ERI"
"AVI",2014,133,"4",0,"ERI"
"TOM",2014,133,"6",0,"ERI"
"BAD",2014,134,"3",0,"ABP"
"CAL",2014,134,"5",0,"ERI"
"CAR",2014,134,"2",0,"ERI"
"CRU",2014,134,"6",0,"JDS"
"DAV",2014,134,"5",0,"JDS"
"DEL",2014,134,"5",0,"ERI"
"DLW",2014,134,"2",0,"JDS"
"DOR",2014,134,"3",0,"JDS"
"DUN",2014,134,"1",0,"JDS"
"FOF",2014,134,"4",0,"ABP"
"FOU",2014,134,"7",0,"ERI"
"FSH",2014,134,"4",0,"ERI"
"GLF",2014,134,"5",0,"ABP"
"INS",2014,134,"5",1,"JDS"
"KCK",2014,134,"6",0,"JDS"
"LVN",2014,134,"5",0,"ABP"
"MCH",2014,134,"3",0,"ABP"
"STY",2014,134,"2",0,"ERI"
"ALN",2014,135,"3",0,"ERI"
"ALN",2014,135,"5",0,"JDS"
"ALN",2014,135,"6",0,"JDS"
"AVI",2014,135,"3",0,"JDS"
"AVI",2014,135,"5",0,"ERI"
"BIR",2014,135,"2",0,"ERI"
"BIR",2014,135,"5",0,"JDS"
"BLA",2014,135,"2",0,"ERI"
"BLA",2014,135,"5",0,"JDS"
"BLG",2014,135,"6",0,"ERI"
"BLG",2014,135,"2",0,"JDS"
"DNC",2014,135,"1",0,"JDS"
"DNC",2014,135,"6",0,"ERI"
"DNM",2014,135,"1",0,"JDS"
"DNM",2014,135,"2",0,"JDS"
"DNM",2014,135,"5",0,"ERI"
"MUN",2014,135,"2",0,"JDS"
"MUN",2014,135,"3",0,"ERI"
"NEW",2014,135,"5",0,"JDS"
"NEW",2014,135,"2",0,"ERI"
"NEW",2014,135,"4",0,"ERI"
"PTH",2014,135,"3",0,"JDS"
"TAI",2014,135,"5",0,"ERI"
"TOM",2014,135,"1",0,"ERI"
"TOM",2014,135,"3",0,"ERI"
"TOM",2014,135,"4",0,"ERI"
"BAD",2014,136,"1",0,"ABP"
"BAD",2014,136,"5",0,"ABP"
"BAD",2014,136,"6",0,"ABP"
"CAL",2014,136,"3",0,"ERI"
"CAL",2014,136,"6",0,"JDS"
"CAR",2014,136,"1",0,"JDS"
"CAR",2014,136,"4",0,"ERI"
"CAR",2014,136,"6",0,"ERI"
"CRU",2014,136,"2",0,"ERI"
"CRU",2014,136,"3",0,"ERI"
"DAV",2014,136,"1",0,"ERI"
"DAV",2014,136,"4",0,"ERI"
"DAV",2014,136,"2",0,"ERI"
"DEL",2014,136,"7Z",0,"ERI"
"DEL",2014,136,"1",0,"JDS"
"DLW",2014,136,"4",0,"ERI"
"DLW",2014,136,"6",0,"ERI"
"DOR",2014,136,"4",0,"ERI"
"DOR",2014,136,"5",0,"ERI"
"DOR",2014,136,"1",0,"JDS"
"DUN",2014,136,"4",0,"JDS"
"DUN",2014,136,"5",0,"ERI"
"FOF",2014,136,"7",0,"ABP"
"FOF",2014,136,"6",0,"ABP"
"FOU",2014,136,"4",0,"ERI"
"FOU",2014,136,"3",0,"JDS"
"FSH",2014,136,"1",0,"JDS"
"FSH",2014,136,"3",0,"JDS"
"FSH",2014,136,"6",0,"ERI"
"GLF",2014,136,"2",0,"ABP"
"GLF",2014,136,"6",0,"ABP"
"GLF",2014,136,"7",0,"ABP"
"INS",2014,136,"3",0,"ERI"
"INS",2014,136,"6",0,"JDS"
"INS",2014,136,"2",0,"ERI"
"KCK",2014,136,"3",0,"JDS"
"KCK",2014,136,"4",0,"ERI"
"LVN",2014,136,"1",1,"ABP"
"LVN",2014,136,"3",0,"ABP"
"LVN",2014,136,"4",0,"ABP"
"MCH",2014,136,"1",0,"ABP"
"MCH",2014,136,"6",1,"ABP"
"MCH",2014,136,"4",1,"ABP"
"STY",2014,136,"5",0,"JDS"
"STY",2014,136,"6",0,"JDS"
"ALN",2014,137,"1",0,"JDS"
"AVI",2014,137,"3",0,"JDS"
"BIR",2014,137,"6",0,"JDS"
"BLA",2014,137,"6",0,"JDS"
"BLG",2014,137,"1",0,"JDS"
"DNM",2014,137,"3",0,"JDS"
"MUN",2014,137,"4",0,"JDS"
"NEW",2014,137,"1",0,"JDS"
"PTH",2014,137,"6",0,"JDS"
"TAI",2014,137,"7",0,"JDS"
"TOM",2014,137,"6",0,"JDS"
"BAD",2014,138,"3",0,"ABP"
"CAL",2014,138,"5",0,"JDS"
"CAR",2014,138,"2",0,"JDS"
"CRU",2014,138,"6",0,"JDS"
"DAV",2014,138,"5",0,"JDS"
"DEL",2014,138,"5",0,"JDS"
"DLW",2014,138,"2",0,"JDS"
"DOR",2014,138,"3",0,"JDS"
"DUN",2014,138,"1",0,"JDS"
"FOF",2014,138,"4",1,"ABP"
"FOU",2014,138,"7",1,"JDS"
"FSH",2014,138,"4",0,"JDS"
"GLF",2014,138,"5",0,"ABP"
"INS",2014,138,"5",0,"JDS"
"KCK",2014,138,"6",1,"JDS"
"LVN",2014,138,"5",0,"ABP"
"MCH",2014,138,"3",1,"ABP"
"STY",2014,138,"2",0,"JDS"
"ALN",2014,139,"3",0,"ERI"
"ALN",2014,139,"5",0,"JDS"
"ALN",2014,139,"6",0,"ERI"
"AVI",2014,139,"3",0,"ERI"
"AVI",2014,139,"4",0,"JDS"
"BIR",2014,139,"1",1,"ERI"
"BIR",2014,139,"2",0,"ERI"
"BIR",2014,139,"5",0,"JDS"
"BLA",2014,139,"2",0,"ERI"
"BLA",2014,139,"5",0,"JDS"
"BLG",2014,139,"6",0,"ERI"
"BLG",2014,139,"2",0,"ERI"
"DNC",2014,139,"1",0,"JDS"
"DNC",2014,139,"6",0,"ERI"
"DNM",2014,139,"1",0,"ERI"
"DNM",2014,139,"2",0,"ERI"
"DNM",2014,139,"5",0,"JDS"
"MUN",2014,139,"2",0,"ERI"
"MUN",2014,139,"3",0,"ERI"
"NEW",2014,139,"5",0,"ERI"
"NEW",2014,139,"2",0,"ERI"
"NEW",2014,139,"4",0,"ERI"
"PTH",2014,139,"3",0,"ERI"
"PTH",2014,139,"1",0,"ERI"
"TAI",2014,139,"2",0,"ERI"
"TAI",2014,139,"5",0,"ERI"
"TOM",2014,139,"1",0,"JDS"
"TOM",2014,139,"3",0,"JDS"
"TOM",2014,139,"4",1,"ERI"
"BAD",2014,140,"1",0,"ABP"
"BAD",2014,140,"5",0,"ABP"
"BAD",2014,140,"6",0,"ABP"
"CAL",2014,140,"3",0,"ERI"
"CAL",2014,140,"6",0,"JDS"
"CAR",2014,140,"1",0,"ERI"
"CAR",2014,140,"4",3,"JDS"
"CAR",2014,140,"6",0,"JDS"
"CRU",2014,140,"2",0,"JDS"
"CRU",2014,140,"3",0,"JDS"
"DAV",2014,140,"1",0,"ERI"
"DAV",2014,140,"4",0,"JDS"
"DAV",2014,140,"2",0,"ERI"
"DEL",2014,140,"1",0,"ERI"
"DLW",2014,140,"4",0,"ERI"
"DLW",2014,140,"6",0,"ERI"
"DOR",2014,140,"4",0,"ERI"
"DOR",2014,140,"1",0,"ERI"
"DUN",2014,140,"4",0,"JDS"
"DUN",2014,140,"5",0,"ERI"
"FOF",2014,140,"7",0,"ABP"
"FOF",2014,140,"6",0,"ABP"
"FOU",2014,140,"4",0,"ERI"
"FOU",2014,140,"3",0,"ERI"
"FSH",2014,140,"1",0,"ERI"
"FSH",2014,140,"3",0,"JDS"
"FSH",2014,140,"6",0,"ERI"
"GLF",2014,140,"2",1,"ABP"
"GLF",2014,140,"6",0,"ABP"
"GLF",2014,140,"7",1,"ABP"
"INS",2014,140,"3",1,"JDS"
"INS",2014,140,"6",1,"ERI"
"INS",2014,140,"2",0,"JDS"
"KCK",2014,140,"3",0,"JDS"
"KCK",2014,140,"4",0,"ERI"
"LVN",2014,140,"1",0,"ABP"
"LVN",2014,140,"3",1,"ABP"
"LVN",2014,140,"4",0,"ABP"
"MCH",2014,140,"1",0,"ABP"
"MCH",2014,140,"6",2,"ABP"
"MCH",2014,140,"4",0,"ABP"
"STY",2014,140,"5",1,"JDS"
"STY",2014,140,"6",1,"JDS"
"ALN",2014,141,"1",0,"JDS"
"AVI",2014,141,"4",0,"JDS"
"BIR",2014,141,"6",0,"ERI"
"BLA",2014,141,"6",0,"JDS"
"BLG",2014,141,"1",0,"ERI"
"DNC",2014,141,"3",0,"JDS"
"DNM",2014,141,"3",0,"JDS"
"MUN",2014,141,"4",0,"ERI"
"NEW",2014,141,"1",0,"JDS"
"PTH",2014,141,"6",0,"ERI"
"TAI",2014,141,"7",0,"ERI"
"TOM",2014,141,"6",0,"ERI"
"BAD",2014,142,"3",0,"ABP"
"CAL",2014,142,"5",0,"JDS"
"CAR",2014,142,"2",0,"ERI"
"CRU",2014,142,"6",0,"JDS"
"DAV",2014,142,"5",0,"ERI"
"DEL",2014,142,"5",0,"ERI"
"DLW",2014,142,"2",0,"JDS"
"DOR",2014,142,"3",0,"ERI"
"DUN",2014,142,"1",0,"JDS"
"FOF",2014,142,"4",1,"ABP"
"FOU",2014,142,"7",0,"ERI"
"FSH",2014,142,"4",0,"ERI"
"GLF",2014,142,"5",1,"ABP"
"INS",2014,142,"5",0,"JDS"
"KCK",2014,142,"6",0,"ERI"
"LVN",2014,142,"5",0,"ABP"
"MCH",2014,142,"3",0,"ABP"
"STY",2014,142,"2",0,"ERI"
"ALN",2014,143,"3",0,"JDS"
"ALN",2014,143,"5",0,"JDS"
"ALN",2014,143,"6",0,"JDS"
"AVI",2014,143,"3",0,"JDS"
"AVI",2014,143,"5",0,"JDS"
"BIR",2014,143,"1",1,"JDS"
"BIR",2014,143,"2",1,"JDS"
"BIR",2014,143,"5",0,"JDS"
"BLA",2014,143,"2",0,"ABP"
"BLA",2014,143,"5",0,"ABP"
"BLG",2014,143,"6",1,"JDS"
"BLG",2014,143,"2",0,"JDS"
"DNC",2014,143,"1",0,"JDS"
"DNC",2014,143,"6",0,"ABP"
"DNM",2014,143,"1",0,"ABP"
"DNM",2014,143,"2",0,"ABP"
"DNM",2014,143,"5",0,"ABP"
"MUN",2014,143,"2",0,"JDS"
"MUN",2014,143,"3",0,"JDS"
"NEW",2014,143,"5",0,"ABP"
"NEW",2014,143,"2",2,"ABP"
"NEW",2014,143,"4",0,"ABP"
"PTH",2014,143,"3",0,"JDS"
"PTH",2014,143,"1",0,"JDS"
"TAI",2014,143,"2",0,"JDS"
"TAI",2014,143,"5",0,"JDS"
"TOM",2014,143,"1",0,"ABP"
"TOM",2014,143,"3",1,"ABP"
"TOM",2014,143,"4",1,"ABP"
"BAD",2014,144,"1",0,"ABP"
"BAD",2014,144,"5",0,"ABP"
"BAD",2014,144,"6",0,"ABP"
"CAL",2014,144,"3",0,"JDS"
"CAL",2014,144,"6",0,"JDS"
"CAR",2014,144,"1",0,"JDS"
"CAR",2014,144,"4",0,"JDS"
"CAR",2014,144,"6",0,"JDS"
"CRU",2014,144,"2",0,"JDS"
"CRU",2014,144,"3",0,"JDS"
"DAV",2014,144,"1",1,"JDS"
"DAV",2014,144,"4",0,"JDS"
"DAV",2014,144,"2",0,"JDS"
"DEL",2014,144,"7Z",0,"JDS"
"DEL",2014,144,"1",0,"JDS"
"DLW",2014,144,"4",0,"ABP"
"DLW",2014,144,"6",1,"ABP"
"DOR",2014,144,"4",0,"ABP"
"DOR",2014,144,"5",0,"ABP"
"DOR",2014,144,"1",0,"ABP"
"DUN",2014,144,"4",0,"ABP"
"DUN",2014,144,"5",0,"ABP"
"FOF",2014,144,"7",1,"ABP"
"FOF",2014,144,"6",1,"ABP"
"FOU",2014,144,"4",0,"ABP"
"FOU",2014,144,"3",0,"ABP"
"FSH",2014,144,"1",0,"JDS"
"FSH",2014,144,"3",0,"JDS"
"FSH",2014,144,"6",0,"JDS"
"GLF",2014,144,"2",0,"ABP"
"GLF",2014,144,"6",0,"ABP"
"GLF",2014,144,"7",0,"ABP"
"INS",2014,144,"3",0,"JDS"
"INS",2014,144,"6",1,"JDS"
"INS",2014,144,"2",0,"JDS"
"KCK",2014,144,"3",0,"JDS"
"KCK",2014,144,"4",0,"JDS"
"LVN",2014,144,"1",1,"ABP"
"LVN",2014,144,"3",0,"ABP"
"LVN",2014,144,"4",0,"ABP"
"MCH",2014,144,"1",0,"ABP"
"MCH",2014,144,"6",0,"ABP"
"MCH",2014,144,"4",1,"ABP"
"STY",2014,144,"5",0,"JDS"
"STY",2014,144,"6",0,"JDS"
"ALN",2014,145,"1",0,"JDS"
"AVI",2014,145,"4",0,"JDS"
"BIR",2014,145,"6",0,"JDS"
"BLA",2014,145,"6",0,"JDS"
"BLG",2014,145,"1",0,"JDS"
"DNC",2014,145,"3",0,"JDS"
"DNM",2014,145,"3",0,"JDS"
"MUN",2014,145,"4",0,"JDS"
"NEW",2014,145,"1",0,"JDS"
"PTH",2014,145,"6",0,"JDS"
"TAI",2014,145,"7",0,"JDS"
"TOM",2014,145,"6",0,"JDS"
"BAD",2014,146,"3",0,"ABP"
"CAL",2014,146,"5",0,"JDS"
"CAR",2014,146,"2",0,"JDS"
"CRU",2014,146,"6",0,"JDS"
"DAV",2014,146,"5",0,"JDS"
"DEL",2014,146,"5",0,"JDS"
"DLW",2014,146,"2",0,"JDS"
"DOR",2014,146,"3",0,"JDS"
"DUN",2014,146,"1",0,"JDS"
"FOF",2014,146,"4",0,"ABP"
"FOU",2014,146,"7",0,"JDS"
"FSH",2014,146,"4",0,"JDS"
"GLF",2014,146,"5",1,"ABP"
"INS",2014,146,"5",0,"JDS"
"KCK",2014,146,"6",0,"JDS"
"LVN",2014,146,"5",0,"ABP"
"MCH",2014,146,"3",2,"ABP"
"STY",2014,146,"2",0,"JDS"
"ALN",2014,147,"3",0,"JDS"
"ALN",2014,147,"5",0,"JDS"
"ALN",2014,147,"6",0,"JDS"
"AVI",2014,147,"3",1,"JDS"
"AVI",2014,147,"5",1,"JDS"
"BIR",2014,147,"1",0,"JDS"
"BIR",2014,147,"2",0,"JDS"
"BIR",2014,147,"5",0,"JDS"
"BLA",2014,147,"2",0,"JDS"
"BLA",2014,147,"5",0,"JDS"
"BLG",2014,147,"6",0,"JDS"
"BLG",2014,147,"2",0,"JDS"
"DNC",2014,147,"1",1,"JDS"
"DNC",2014,147,"3",0,"JDS"
"DNM",2014,147,"1",0,"JDS"
"DNM",2014,147,"2",0,"JDS"
"DNM",2014,147,"5",0,"JDS"
"MUN",2014,147,"2",0,"JDS"
"MUN",2014,147,"3",0,"JDS"
"NEW",2014,147,"5",0,"JDS"
"NEW",2014,147,"2",1,"JDS"
"NEW",2014,147,"4",0,"JDS"
"PTH",2014,147,"3",0,"JDS"
"PTH",2014,147,"1",0,"JDS"
"TAI",2014,147,"2",0,"JDS"
"TAI",2014,147,"5",0,"JDS"
"TOM",2014,147,"1",0,"JDS"
"TOM",2014,147,"3",0,"JDS"
"TOM",2014,147,"4",0,"JDS"
"BAD",2014,148,"1",0,"ABP"
"BAD",2014,148,"5",0,"ABP"
"BAD",2014,148,"6",0,"ABP"
"CAL",2014,148,"3",1,"JDS"
"CAL",2014,148,"6",0,"JDS"
"CAR",2014,148,"1",0,"JDS"
"CAR",2014,148,"4",0,"JDS"
"CAR",2014,148,"6",1,"JDS"
"CRU",2014,148,"2",0,"JDS"
"CRU",2014,148,"3",0,"JDS"
"DAV",2014,148,"1",0,"JDS"
